number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_learning_rate,state
38,0.8242424726486206,2024-09-12 07:25:56.618253,2024-09-12 07:28:13.405934,0 days 00:02:16.787681,32,0.5,50,0.004400828888063619,COMPLETE
39,0.6818181872367859,2024-09-12 07:28:13.406936,2024-09-12 07:31:09.533930,0 days 00:02:56.126994,16,0.3,43,0.00020522294204206357,COMPLETE
40,0.8383838534355164,2024-09-12 07:31:09.534923,2024-09-12 07:34:03.241339,0 days 00:02:53.706416,24,0.2,33,0.0014156658128822153,COMPLETE
41,0.8595960140228271,2024-09-12 07:34:03.241339,2024-09-12 07:36:55.665428,0 days 00:02:52.424089,32,0.4,37,0.0014998160528035518,COMPLETE
42,0.8525252938270569,2024-09-12 07:36:55.666427,2024-09-12 07:39:47.908422,0 days 00:02:52.241995,32,0.4,41,0.00206298519194904,COMPLETE
43,0.8393939733505249,2024-09-12 07:39:47.908422,2024-09-12 07:42:40.432582,0 days 00:02:52.524160,32,0.4,48,0.0006360608852489328,COMPLETE
44,0.8383838534355164,2024-09-12 07:42:40.433585,2024-09-12 07:45:16.125057,0 days 00:02:35.691472,32,0.4,29,0.004038796976456976,COMPLETE
45,0.8454545736312866,2024-09-12 07:45:16.126057,2024-09-12 07:48:11.134913,0 days 00:02:55.008856,20,0.4,40,0.000892289467460308,COMPLETE
46,0.8313131928443909,2024-09-12 07:48:11.135914,2024-09-12 07:51:04.512158,0 days 00:02:53.376244,32,0.5,37,0.005684640103238925,COMPLETE
47,0.7575758099555969,2024-09-12 07:51:04.513167,2024-09-12 07:53:57.412452,0 days 00:02:52.899285,32,0.3,43,0.0003913624048996472,COMPLETE
48,0.6242424249649048,2024-09-12 07:53:57.413441,2024-09-12 07:56:55.056111,0 days 00:02:57.642670,16,0.4,10,0.0015565588886551933,COMPLETE
49,0.3161616325378418,2024-09-12 07:56:55.056111,2024-09-12 07:58:22.096823,0 days 00:01:27.040712,20,0.2,41,0.01417553563996396,COMPLETE
50,0.7565656900405884,2024-09-12 07:58:22.096823,2024-09-12 08:01:15.102283,0 days 00:02:53.005460,32,0.1,33,0.0005358689041538125,COMPLETE
51,0.8585858941078186,2024-09-12 08:01:15.102283,2024-09-12 08:04:09.014284,0 days 00:02:53.912001,32,0.4,37,0.0016233766947369905,COMPLETE
52,0.8464646935462952,2024-09-12 08:04:09.014284,2024-09-12 08:07:03.985802,0 days 00:02:54.971518,32,0.4,39,0.0011397715205597684,COMPLETE
53,0.8545454740524292,2024-09-12 08:07:03.986688,2024-09-12 08:09:58.462936,0 days 00:02:54.476248,32,0.4,36,0.0027033584606199366,COMPLETE
54,0.8535354137420654,2024-09-12 08:09:58.462936,2024-09-12 08:12:51.681418,0 days 00:02:53.218482,32,0.4,46,0.0010294655780743614,COMPLETE
55,0.8191919326782227,2024-09-12 08:12:51.682418,2024-09-12 08:15:43.784095,0 days 00:02:52.101677,32,0.1,31,0.0007751203438098494,COMPLETE
56,0.8666667342185974,2024-09-12 08:15:43.785080,2024-09-12 08:18:38.956870,0 days 00:02:55.171790,20,0.4,44,0.0017558571228647928,COMPLETE
57,0.7161616683006287,2024-09-12 08:18:38.957864,2024-09-12 08:21:32.931791,0 days 00:02:53.973927,20,0.4,44,0.0003028041674535496,COMPLETE
58,0.6404040455818176,2024-09-12 08:21:32.932764,2024-09-12 08:24:27.657764,0 days 00:02:54.725000,20,0.1,48,0.00014208892494862262,COMPLETE
59,0.7696970105171204,2024-09-12 08:24:27.658762,2024-09-12 08:26:47.825276,0 days 00:02:20.166514,20,0.4,19,0.00516307954717374,COMPLETE
60,0.8292929530143738,2024-09-12 08:26:47.825276,2024-09-12 08:29:42.373506,0 days 00:02:54.548230,20,0.4,41,0.0021095796528230763,COMPLETE
61,0.8505051136016846,2024-09-12 08:29:42.374512,2024-09-12 08:32:37.676915,0 days 00:02:55.302403,28,0.4,44,0.0014935330811982844,COMPLETE
62,0.8323232531547546,2024-09-12 08:32:37.676915,2024-09-12 08:34:55.571200,0 days 00:02:17.894285,32,0.4,39,0.003013724855739608,COMPLETE
63,0.8373737931251526,2024-09-12 08:34:55.572211,2024-09-12 08:37:54.877375,0 days 00:02:59.305164,20,0.4,42,0.0005037994858826494,COMPLETE
64,0.8393939733505249,2024-09-12 08:37:54.877375,2024-09-12 08:40:46.763568,0 days 00:02:51.886193,24,0.4,46,0.0012577518962117796,COMPLETE
65,0.8353535532951355,2024-09-12 08:40:46.764555,2024-09-12 08:43:37.991028,0 days 00:02:51.226473,32,0.1,38,0.0007596475662267572,COMPLETE
66,0.849494993686676,2024-09-12 08:43:37.991028,2024-09-12 08:46:30.661418,0 days 00:02:52.670390,32,0.5,40,0.001799112706772752,COMPLETE
67,0.6535353660583496,2024-09-12 08:46:30.662406,2024-09-12 08:48:50.912979,0 days 00:02:20.250573,16,0.4,34,0.007668071847132368,COMPLETE
