number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_learning_rate,params_n_layers,state
0,0.5070707201957703,2024-09-01 17:16:34.914460,2024-09-01 17:19:27.105321,0 days 00:02:52.190861,16,0.5,10,0.0014358985109379442,1,COMPLETE
1,0.27878788113594055,2024-09-01 17:19:27.106319,2024-09-01 17:22:57.222957,0 days 00:03:30.116638,128,0.3,16,0.003307892451809048,4,COMPLETE
