number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_learning_rate,params_num_mlp_layers,params_num_rnn_layers,state
36,0.02260503487642625,2024-11-23 07:35:53.470352,2024-11-23 07:44:10.012356,0 days 00:08:16.542004,80,0.2,48,0.0007412233701961543,1,2,COMPLETE
37,0.02193429807014595,2024-11-23 07:44:10.013356,2024-11-23 07:52:29.362214,0 days 00:08:19.348858,96,0.3,64,0.0020022367813059155,2,3,COMPLETE
38,0.022056869976961026,2024-11-23 07:52:29.362214,2024-11-23 08:00:48.706240,0 days 00:08:19.344026,96,0.3,64,0.0037486913125927934,2,3,COMPLETE
39,0.021838122945175287,2024-11-23 08:00:48.707240,2024-11-23 08:09:32.900544,0 days 00:08:44.193304,96,0.3,64,0.0017876727878630026,2,5,COMPLETE
40,0.022433263669470304,2024-11-23 08:09:32.900544,2024-11-23 08:18:15.622908,0 days 00:08:42.722364,96,0.3,64,0.0020941956256771035,1,5,COMPLETE
41,0.02267429741514811,2024-11-23 08:18:15.623908,2024-11-23 08:27:11.274416,0 days 00:08:55.650508,96,0.3,64,0.004730515189517028,2,6,COMPLETE
42,0.02247397175175022,2024-11-23 08:27:11.275416,2024-11-23 08:36:03.044319,0 days 00:08:51.768903,96,0.3,64,0.0017000318236023925,2,6,COMPLETE
43,0.022495393786026694,2024-11-23 08:36:03.045319,2024-11-23 08:44:48.576970,0 days 00:08:45.531651,96,0.3,64,0.002740649141047467,2,5,COMPLETE
44,0.02488392814480117,2024-11-23 08:44:48.576970,2024-11-23 08:53:08.069100,0 days 00:08:19.492130,96,0.3,64,0.00012800814917252328,2,3,COMPLETE
45,0.022280078618333875,2024-11-23 08:53:08.069100,2024-11-23 09:01:40.950706,0 days 00:08:32.881606,96,0.3,64,0.001283175623591942,2,4,COMPLETE
46,0.02198767382132974,2024-11-23 09:01:40.951707,2024-11-23 09:09:53.915231,0 days 00:08:12.963524,96,0.3,96,0.002269455745911445,2,3,COMPLETE
47,0.022448100193645446,2024-11-23 09:09:53.916230,2024-11-23 09:18:34.107775,0 days 00:08:40.191545,80,0.3,80,0.0009091272867904479,2,4,COMPLETE
48,0.02403861459713274,2024-11-23 09:18:34.108774,2024-11-23 09:27:07.079650,0 days 00:08:32.970876,64,0.1,32,0.00018803700222419585,2,3,COMPLETE
49,0.022531340435600736,2024-11-23 09:27:07.079650,2024-11-23 09:35:40.729375,0 days 00:08:33.649725,96,0.3,64,0.005620401220603848,2,4,COMPLETE
50,0.022367962974704964,2024-11-23 09:35:40.730375,2024-11-23 09:44:44.158255,0 days 00:09:03.427880,32,0.1,128,0.001338015184084186,2,3,COMPLETE
51,0.022230422595448655,2024-11-23 09:44:44.159255,2024-11-23 09:53:56.494161,0 days 00:09:12.334906,16,0.2,80,0.0005749366800056352,2,2,COMPLETE
52,0.02290327104908928,2024-11-23 09:53:56.494161,2024-11-23 10:02:36.410279,0 days 00:08:39.916118,16,0.2,48,0.00035942498432530465,2,1,COMPLETE
53,0.022215122871915013,2024-11-23 10:02:36.411278,2024-11-23 10:10:48.157021,0 days 00:08:11.745743,80,0.2,112,0.0008661344177904809,2,2,COMPLETE
54,0.022307869892658296,2024-11-23 10:10:48.157021,2024-11-23 10:20:01.430901,0 days 00:09:13.273880,16,0.2,80,0.0004801392755644193,2,2,COMPLETE
55,0.02218908878248125,2024-11-23 10:20:01.430901,2024-11-23 10:29:41.586871,0 days 00:09:40.155970,16,0.2,48,0.00025909555782211834,2,3,COMPLETE
56,0.021981895027681567,2024-11-23 10:29:41.586871,2024-11-23 10:39:12.471482,0 days 00:09:30.884611,32,0.2,80,0.000981745491530944,2,5,COMPLETE
57,0.022204674107239305,2024-11-23 10:39:12.471482,2024-11-23 10:47:48.344954,0 days 00:08:35.873472,16,0.2,64,0.0014436246050027067,2,3,COMPLETE
58,0.022047800078599626,2024-11-23 10:47:48.344954,2024-11-23 10:56:04.307593,0 days 00:08:15.962639,80,0.3,96,0.00053185133522563,2,2,COMPLETE
59,0.021944065239574283,2024-11-23 10:56:04.307593,2024-11-23 11:04:33.563942,0 days 00:08:29.256349,96,0.2,32,0.0021419095964715076,2,4,COMPLETE
60,0.022338713739192186,2024-11-23 11:04:33.564942,2024-11-23 11:13:19.514047,0 days 00:08:45.949105,96,0.2,32,0.0034354125527660618,2,5,COMPLETE
61,0.022015666937838338,2024-11-23 11:13:19.514047,2024-11-23 11:21:51.005143,0 days 00:08:31.491096,96,0.2,32,0.002133935604140901,2,4,COMPLETE
62,0.02230322692095071,2024-11-23 11:21:51.005143,2024-11-23 11:30:10.123976,0 days 00:08:19.118833,96,0.2,32,0.0011205012396983014,2,3,COMPLETE
63,0.02215596169892798,2024-11-23 11:30:10.123976,2024-11-23 11:38:39.198812,0 days 00:08:29.074836,96,0.2,80,0.009212179389653389,2,4,COMPLETE
64,0.021882490087899057,2024-11-23 11:38:39.199812,2024-11-23 11:49:19.505655,0 days 00:10:40.305843,16,0.2,32,0.0008161364948952836,2,5,COMPLETE
65,0.024158493893496853,2024-11-23 11:49:19.506655,2024-11-23 11:57:51.076469,0 days 00:08:31.569814,16,0.2,32,0.00434020047528458,2,5,COMPLETE
66,0.02273472525271344,2024-11-23 11:57:51.076469,2024-11-23 12:06:46.050083,0 days 00:08:54.973614,64,0.1,32,0.0026258357225794455,2,5,COMPLETE
67,0.022155237179403528,2024-11-23 12:06:46.051082,2024-11-23 12:15:48.162666,0 days 00:09:02.111584,80,0.2,32,0.0018447155004757384,2,6,COMPLETE
68,0.02214444563808274,2024-11-23 12:15:48.162666,2024-11-23 12:26:26.310528,0 days 00:10:38.147862,16,0.2,32,0.0003787062548045852,2,5,COMPLETE
