mean,std
395.7826,104.850876
75.53896,44.440746
-11.697049,36.156414
11.596761,25.084415
-13.046351,20.977661
-11.794318,18.945042
-12.954033,15.8555355
-8.379657,13.404122
-5.983381,12.111893
-2.5714471,11.427527
-6.036076,9.770928
-3.7519126,9.661208
-5.769007,9.157751
0.13835964,0.11284838
0.06922216,0.06704032
43.489544,13.144055
44.39857,12.142799
47.02892,12.391884
50.56476,14.521492
55.051235,15.419528
56.763386,15.934886
58.801544,16.034573
59.582016,16.136997
59.53516,16.007921
58.59381,15.858957
58.09615,15.913758
57.94374,16.12501
57.963043,16.385391
58.031982,16.565588
57.885857,16.640057
57.644974,16.782654
57.105583,16.858322
56.34089,16.9496
55.269585,17.010288
54.114025,16.961948
52.898144,16.828571
51.772465,16.632496
50.596897,16.385822
49.67277,16.028244
48.794468,15.764936
48.104095,15.529259
47.560863,15.4080925
46.98718,15.367693
46.64659,15.322076
46.30829,15.415206
46.055645,15.450279
45.91894,15.557932
45.828087,15.575649
45.778316,15.67884
45.89121,15.692982
46.1333,15.664513
46.311344,15.572549
46.354893,15.534597
46.273304,15.48397
46.012287,15.392763
45.610725,15.326836
45.150116,15.221849
44.685844,15.07781
44.230164,15.025512
43.94663,14.965106
43.820263,14.972855
43.876217,15.071233
43.934063,15.240164
43.859142,15.310251
43.538082,15.244686
43.05722,15.121597
42.559856,14.976721
42.100616,14.884194
41.642334,14.85025
41.13762,14.841191
40.752243,14.850825
40.394615,14.804692
39.97987,14.749137
39.466183,14.655907
38.80044,14.550035
37.966724,14.516039
37.123642,14.54659
36.31699,14.504301
35.485416,14.463497
34.730106,14.436968
34.049816,14.44829
33.42363,14.504786
32.819096,14.575808
32.141453,14.604168
31.469423,14.554273
30.937654,14.490775
30.577324,14.463314
30.35578,14.423119
30.141706,14.355353
29.813429,14.303288
29.340237,14.248401
28.816118,14.117206
27.919672,14.016169
26.332966,13.808988
23.579788,12.93785
0.35221905,0.31465843
0.3412096,0.30934978
0.34270036,0.3102
0.34751573,0.31209722
0.35118037,0.31201926
0.35885265,0.31542632
0.36469436,0.31693295
0.37100637,0.3188577
0.37914592,0.3242225
0.38358334,0.32694906
0.38387993,0.33063447
0.37103453,0.32685804
